> 2MASS Tully-Fisher Survey
> Hong, T., Staveley-Smith, L., Masters, K. L., Springob, C. M., 
> acri, L. M., Koribalski, B. S., Jones, D. H., Jarrett, T. H., 
> Crook, A. C. 2013, MNRAS, arXiv:1304.0882
>
> ASCII Table
> Generated by Tao Hong  Sun May 12 2013
>
> Telescope:      Parkes telescope with MX mode
> Beam size:      14.0 [arcminutes]
> Object:         2MASS J00301223-4106041
> RA:               7.5510  (J2000) decimal degrees
> DEC:            -41.1011  (J2000) decimal degrees
> Rest Frequency: 1420.4058 [MHz]
> Bandwidth:      8 [MHz]
> Channels:       1024
> HI Archive at http://ict.icrar.org/2MTF/
>
The spectrum is not baselined. Not smoothed either.i ******
  Frequency     Velocity-HEL    Flux Density ***
     MHz            km/s             mJy     ***
  1376.6485      9529.0097         -5.0363
  1376.6563      9527.2542        -10.6118
  1376.6641      9525.4988          3.7016
  1376.6719      9523.7434         -4.9039
  1376.6797      9521.9880        -10.3587
  1376.6876      9520.2326         -2.7945
  1376.6954      9518.4772          0.1559
  1376.7032      9516.7219         -4.8713
  1376.7110      9514.9665         -8.7418
  1376.7188      9513.2112         -6.5665
  1376.7266      9511.4560          4.7224
  1376.7344      9509.7007         -0.3519
  1376.7422      9507.9455          2.3148
  1376.7501      9506.1902         -2.7361
  1376.7579      9504.4350         -9.9755
  1376.7657      9502.6798         -2.7894
  1376.7735      9500.9247          7.4194
  1376.7813      9499.1695         -5.3006
  1376.7891      9497.4144          1.9106
  1376.7969      9495.6593          5.5213
  1376.8047      9493.9042        -10.4465
  1376.8126      9492.1492          2.1752
  1376.8204      9490.3941          5.3395
  1376.8282      9488.6391         -9.6644
  1376.8360      9486.8841         -4.3211
  1376.8438      9485.1291          2.5441
  1376.8516      9483.3741          2.9438
  1376.8594      9481.6192          2.5454
  1376.8672      9479.8643         -6.0550
  1376.8751      9478.1094          6.0859
  1376.8829      9476.3545         -1.2127
  1376.8907      9474.5996         -6.9100
  1376.8985      9472.8448         -0.8237
  1376.9063      9471.0899         -3.7776
  1376.9141      9469.3351         -6.9460
  1376.9219      9467.5803          1.3021
  1376.9298      9465.8256         -2.3228
  1376.9376      9464.0708          1.5350
  1376.9454      9462.3161         -8.6805
  1376.9532      9460.5614         -4.1200
  1376.9610      9458.8067          2.8488
  1376.9688      9457.0521          1.8694
  1376.9766      9455.2974          0.5963
  1376.9844      9453.5428         -5.2032
  1376.9923      9451.7882         -6.8844
  1377.0001      9450.0336          0.1490
  1377.0079      9448.2790         -1.3208
  1377.0157      9446.5245          0.3384
  1377.0235      9444.7699          0.4515
  1377.0313      9443.0154         -0.6022
  1377.0391      9441.2610         14.8445
  1377.0469      9439.5065          0.5560
  1377.0548      9437.7520          4.9003
  1377.0626      9435.9976          4.4742
  1377.0704      9434.2432         -3.1626
  1377.0782      9432.4888         -3.4335
  1377.0860      9430.7345         -6.6399
  1377.0938      9428.9801         -3.1210
  1377.1016      9427.2258          1.7084
  1377.1094      9425.4715         -3.0447
  1377.1173      9423.7172         -5.3942
  1377.1251      9421.9629         -6.2064
  1377.1329      9420.2087         -5.3594
  1377.1407      9418.4544         -1.8968
  1377.1485      9416.7002          0.2018
  1377.1563      9414.9460         -1.3251
  1377.1641      9413.1919         -4.7208
  1377.1719      9411.4377          2.5841
  1377.1798      9409.6836          7.3126
  1377.1876      9407.9295         -7.3944
  1377.1954      9406.1754         -4.9848
  1377.2032      9404.4213         -2.4619
  1377.2110      9402.6673          0.6676
  1377.2188      9400.9133         -6.3774
  1377.2266      9399.1592         -4.1008
  1377.2345      9397.4053         -2.3071
  1377.2423      9395.6513         -5.5072
  1377.2501      9393.8973          1.5565
  1377.2579      9392.1434         -1.4911
  1377.2657      9390.3895         -1.3432
  1377.2735      9388.6356         -9.6791
  1377.2813      9386.8817         -1.4448
  1377.2891      9385.1279          0.1446
  1377.2970      9383.3741          3.5368
  1377.3048      9381.6202         -6.0571
  1377.3126      9379.8665          1.1830
  1377.3204      9378.1127         -6.4531
  1377.3282      9376.3589         -6.1594
  1377.3360      9374.6052          5.5065
  1377.3438      9372.8515          4.2950
  1377.3516      9371.0978         -3.9506
  1377.3595      9369.3441          8.0144
  1377.3673      9367.5905          2.8028
  1377.3751      9365.8368         -7.2134
  1377.3829      9364.0832          4.4300
  1377.3907      9362.3296         16.1236
  1377.3985      9360.5761         13.6259
  1377.4063      9358.8225          6.1396
  1377.4141      9357.0690          8.9419
  1377.4220      9355.3155          6.9118
  1377.4298      9353.5620          9.3387
  1377.4376      9351.8085         17.3640
  1377.4454      9350.0551         19.0001
  1377.4532      9348.3016         15.2716
  1377.4610      9346.5482         23.9900
  1377.4688      9344.7948         20.4861
  1377.4766      9343.0415         24.2135
  1377.4845      9341.2881         23.2743
  1377.4923      9339.5348         20.4512
  1377.5001      9337.7815         18.1107
  1377.5079      9336.0282         21.8668
  1377.5157      9334.2749         23.8413
  1377.5235      9332.5216         16.8421
  1377.5313      9330.7684         25.9984
  1377.5392      9329.0152         23.3627
  1377.5470      9327.2620         13.3485
  1377.5548      9325.5088         21.2958
  1377.5626      9323.7557         16.9103
  1377.5704      9322.0025         16.2020
  1377.5782      9320.2494          9.4183
  1377.5860      9318.4963         11.5693
  1377.5938      9316.7433         18.2891
  1377.6017      9314.9902         17.8264
  1377.6095      9313.2372         18.2106
  1377.6173      9311.4842         21.7605
  1377.6251      9309.7312         10.5070
  1377.6329      9307.9782         10.2363
  1377.6407      9306.2252         25.1123
  1377.6485      9304.4723         14.0697
  1377.6563      9302.7194         11.0505
  1377.6642      9300.9665         20.5575
  1377.6720      9299.2136         12.8227
  1377.6798      9297.4608         15.6397
  1377.6876      9295.7079         16.0788
  1377.6954      9293.9551         11.4842
  1377.7032      9292.2023         11.3709
  1377.7110      9290.4495         10.7401
  1377.7188      9288.6968         13.8508
  1377.7267      9286.9440         10.2188
  1377.7345      9285.1913         13.0278
  1377.7423      9283.4386         13.1607
  1377.7501      9281.6859         15.6096
  1377.7579      9279.9333         13.7596
  1377.7657      9278.1807          5.0282
  1377.7735      9276.4280          9.0278
  1377.7813      9274.6754         17.8973
  1377.7892      9272.9229         13.1262
  1377.7970      9271.1703         11.9258
  1377.8048      9269.4178         11.6406
  1377.8126      9267.6653          5.4743
  1377.8204      9265.9128          3.7495
  1377.8282      9264.1603          5.5238
  1377.8360      9262.4078          1.4058
  1377.8439      9260.6554         15.9278
  1377.8517      9258.9030          3.1333
  1377.8595      9257.1506         -1.0067
  1377.8673      9255.3982         13.4947
  1377.8751      9253.6458          1.9124
  1377.8829      9251.8935          5.9537
  1377.8907      9250.1412          0.1357
  1377.8985      9248.3889         -1.3739
  1377.9064      9246.6366          4.3342
  1377.9142      9244.8843          2.3469
  1377.9220      9243.1321          9.1230
  1377.9298      9241.3799         10.4839
  1377.9376      9239.6277          9.0493
  1377.9454      9237.8755         -0.1988
  1377.9532      9236.1233          0.5989
  1377.9610      9234.3712          3.0293
  1377.9689      9232.6191          4.3995
  1377.9767      9230.8670          5.5405
  1377.9845      9229.1149          7.1201
  1377.9923      9227.3628          8.6885
  1378.0001      9225.6108          4.4779
  1378.0079      9223.8588          7.9429
  1378.0157      9222.1068          5.7425
  1378.0235      9220.3548          3.1946
  1378.0314      9218.6028          4.0526
  1378.0392      9216.8509          3.8393
  1378.0470      9215.0990          7.0578
  1378.0548      9213.3471         12.0170
  1378.0626      9211.5952          2.9026
  1378.0704      9209.8433          5.8626
  1378.0782      9208.0915          8.6090
  1378.0860      9206.3397          9.5549
  1378.0939      9204.5879          6.0795
  1378.1017      9202.8361          2.4065
  1378.1095      9201.0843          8.4184
  1378.1173      9199.3326          1.9093
  1378.1251      9197.5808          1.7924
  1378.1329      9195.8291          6.3919
  1378.1407      9194.0775          9.5848
  1378.1485      9192.3258         10.5720
  1378.1564      9190.5742          9.9537
  1378.1642      9188.8225          5.0447
  1378.1720      9187.0709          4.4262
  1378.1798      9185.3193         10.3190
  1378.1876      9183.5678         -2.1733
  1378.1954      9181.8162         -0.2940
  1378.2032      9180.0647         -1.0245
  1378.2111      9178.3132          3.8380
  1378.2189      9176.5617          4.5788
  1378.2267      9174.8103          1.5822
  1378.2345      9173.0588          5.2336
  1378.2423      9171.3074          0.0492
  1378.2501      9169.5560         -4.4088
  1378.2579      9167.8046          7.2440
  1378.2657      9166.0532         -5.1947
  1378.2736      9164.3019          7.0419
  1378.2814      9162.5506          9.1671
  1378.2892      9160.7993          1.4103
  1378.2970      9159.0480          2.5870
  1378.3048      9157.2967          6.5427
  1378.3126      9155.5455          8.0985
  1378.3204      9153.7942          3.5967
  1378.3282      9152.0430          8.3178
  1378.3361      9150.2918          1.9422
  1378.3439      9148.5407          1.4194
  1378.3517      9146.7895          6.4226
  1378.3595      9145.0384          3.3037
  1378.3673      9143.2873          9.4334
  1378.3751      9141.5362          6.2322
  1378.3829      9139.7851          0.3958
  1378.3907      9138.0341          0.9312
  1378.3986      9136.2831          2.2538
  1378.4064      9134.5320          0.4922
  1378.4142      9132.7811          5.6533
  1378.4220      9131.0301         10.1059
  1378.4298      9129.2791         10.3026
  1378.4376      9127.5282         12.4145
  1378.4454      9125.7773         -0.2436
  1378.4532      9124.0264          5.0856
  1378.4611      9122.2755          9.7461
  1378.4689      9120.5247          6.5840
  1378.4767      9118.7739          6.4742
  1378.4845      9117.0231          5.7929
  1378.4923      9115.2723          0.7644
  1378.5001      9113.5215          2.7045
  1378.5079      9111.7708          4.5327
  1378.5158      9110.0200          4.0268
  1378.5236      9108.2693          1.1674
  1378.5314      9106.5186          4.3338
  1378.5392      9104.7680          3.2799
  1378.5470      9103.0173         -5.2238
  1378.5548      9101.2667          4.4931
  1378.5626      9099.5161          5.8911
  1378.5704      9097.7655          6.1395
  1378.5783      9096.0149          6.0660
  1378.5861      9094.2643          0.6100
  1378.5939      9092.5138         -0.9943
  1378.6017      9090.7633         -0.0902
  1378.6095      9089.0128          1.9404
  1378.6173      9087.2623         12.1347
  1378.6251      9085.5119          7.1545
  1378.6329      9083.7615          5.7604
  1378.6408      9082.0110          9.6015
