Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,User_Score,Developer
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,8.05,92,8.7,SquareSoft
The Sims 3,2009,Simulation,Electronic Arts,0.99,6.42,0,8.01,86,7.6,The Sims Studio
Mario & Sonic at the Olympic Games,2007,Sports,Sega,2.57,3.86,0.66,7.99,,,
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2.99,3.49,0.22,7.98,,,
Final Fantasy VIII,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,7.86,90,8.6,SquareSoft
Pac-Man,1982,Puzzle,Atari,7.28,0.45,0,7.81,,,
Pokémon Platinum Version,2008,Role-Playing,Nintendo,2.76,1.72,2.69,7.72,83,8.5,Game Freak
Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive,2.9,2.81,0.24,7.69,88,7.6,Rockstar Leeds
Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.81,3.48,0.14,7.66,83,5.7,Sledgehammer Games
The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo,4.1,1.89,1.45,7.6,,,
FIFA 17,2016,Sports,Electronic Arts,0.66,5.75,0.08,7.59,85,5,"EA Sports, EA Vancouver"
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,7.58,,,
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,7.55,,,
Super Mario Galaxy 2,2010,Platform,Nintendo,3.56,2.35,0.98,7.51,97,9.1,Nintendo EAD Tokyo
Super Mario Bros. 2,1988,Platform,Nintendo,5.39,1.18,0.7,7.46,,,
Call of Duty: Black Ops 3,2015,Shooter,Activision,4.59,2.11,0.01,7.39,,,
Call of Duty: World at War,2008,Shooter,Activision,4.81,1.88,0,7.38,84,7.6,Treyarch
Battlefield 3,2011,Shooter,Electronic Arts,4.46,2.11,0.06,7.32,84,7.4,EA DICE
Need for Speed Underground,2003,Racing,Electronic Arts,3.27,2.83,0.08,7.2,85,8.6,EA Black Box
Just Dance,2009,Misc,Ubisoft,3.48,2.99,0,7.2,49,8,Ubisoft Paris
Battlefield 3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,7.17,85,7.5,EA DICE
Fallout 4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,7.16,87,6.5,Bethesda Game Studios
Tekken 3,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,7.16,96,9.1,Namco
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,3.74,2.14,0.6,7.15,95,9,Nintendo
Pokemon Sun/Moon,2016,Role-Playing,Nintendo,2.98,1.45,2.26,7.14,,,
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,7.13,91,8.9,Naughty Dog
Mario Kart 8,2014,Racing,Nintendo,3.15,2.15,1.28,7.09,88,9.1,Nintendo
Super Smash Bros. Melee,2001,Fighting,Nintendo,4.41,1.04,1.39,7.07,92,9.1,HAL Labs
Mario Kart: Double Dash!!,2003,Racing,Nintendo,4.12,1.77,0.87,6.95,,,
Need for Speed Underground 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,6.9,82,8.6,EA Canada
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,2.93,2.75,0.17,6.83,88,8.5,EA LA
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,6.82,,,
Just Dance 4,2012,Misc,Ubisoft,4.05,2.16,0,6.76,74,7.3,Ubisoft
Gears of War 2,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,6.75,93,7.7,Epic Games
Uncharted 3: Drake's Deception,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,6.74,92,8.3,Naughty Dog
Zumba Fitness,2010,Sports,505 Games,3.45,2.59,0,6.71,,,"Pipeworks Software, Inc."
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,3.11,2.26,0.28,6.68,94,8.4,Infinity Ward
Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,6.66,96,8.8,Naughty Dog
FIFA 12,2011,Sports,Electronic Arts,0.84,4.3,0.11,6.65,,,
Big Brain Academy,2005,Misc,Nintendo,1.66,2.75,1.6,6.62,74,7.4,Nintendo
The Legend of Zelda,1986,Action,Nintendo,3.74,0.93,1.69,6.51,,,
Red Dead Redemption,2010,Action,Take-Two Interactive,2.79,2.53,0.17,6.49,95,8.8,Rockstar San Diego
FIFA 14,2013,Sports,Electronic Arts,0.78,4.24,0.07,6.47,86,4.3,EA Canada
Assassin's Creed III,2012,Action,Ubisoft,2.64,2.52,0.16,6.45,85,6.9,Ubisoft
Donkey Kong Country Returns,2010,Platform,Nintendo,3.17,1.79,1.03,6.44,87,8.6,Retro Studios
Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,6.43,97,8.6,Bungie Software
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,6.41,92,6.4,Bethesda Game Studios
Pokémon Emerald Version,2004,Role-Playing,Nintendo,2.57,1.58,2.06,6.41,76,9,Game Freak
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,6.4,85,8.8,SquareSoft
Pokémon Crystal Version,2000,Role-Playing,Nintendo,2.55,1.56,1.29,6.39,,,
Halo 3: ODST,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,6.34,83,7.1,"Bungie Software, Bungie"
Red Dead Redemption,2010,Action,Take-Two Interactive,3.7,1.95,0.09,6.32,95,9,Rockstar San Diego
Super Mario Sunshine,2002,Platform,Nintendo,4.01,1.26,0.87,6.31,92,8.6,Nintendo
Street Fighter II: The World Warrior,1992,Fighting,Capcom,2.47,0.83,2.87,6.3,,,
World of Warcraft,2004,Role-Playing,Activision,0.08,6.21,0,6.29,93,7.3,Blizzard Entertainment
Driver,1999,Action,GT Interactive,3.11,2.8,0.02,6.27,87,8.1,Reflections Interactive
Gears of War 3,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,6.21,91,7.8,Epic Games
Kinect Sports,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,6.19,73,7.4,Rare Ltd.
Gears of War,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,6.09,94,8.3,Epic Games
FIFA 15,2014,Sports,Electronic Arts,0.8,4.33,0.05,6.08,82,5.7,EA Sports
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,6.05,96,8.7,KCEJ
Sonic the Hedgehog 2,1992,Platform,Sega,4.47,1.2,0.16,6.03,,,
