sample_date,site,sampling_point,latitude,longitude,Ca-AA,Mg-AA,Na-AA,K-AA,NO3-N,Alkal,Cl,SO4,NH4-N,PO4-P,DOC,Cnd-L,TDP,TP,Si,Ca-IC,Mg-IC,Na-IC,K-IC,Cnd-F,O2%,O2,Discharge,TSS
#,,,degree,degree,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,milligramsPerLiter,milligramsPerLiter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,microsiemensPerCentimeter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,dimensionless,milligramsPerLiter,litersPerSecond,milligramsPerLiter
2008-07-30,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.015261087,5294.566,6.8544893,61.67356,18.963068,5.526207,,,10.481646,,7.4064364,83.87453,25.728125,3.9778872,1.0196348,577,12.8,1.43,,
2008-07-30,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.08374223,5125.146,4.6058526,51.25177,1.585649,1.180355,,,6.70138,,7.720861,81.52753,24.04835,3.6995988,1.1002975,543,63.7,5.75,,
2008-05-21,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,4471.173,7.143202,63.32053,21.429718,8.724833,0.32632345,,,,,86.964294,25.186102,4.1525364,0.9865565,576,14,1.56,,
2008-05-21,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.018533079,5122.483,4.9866834,53.01335,1.3073834,2.5083892,0.39710462,,,,,81.59936,23.690485,3.7407498,0.9715743,540,64.5,7.05,,
2008-03-25,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.008343702,,4.597261,49.087353,2.386273,1.416826,0.32386371,,7.7596073,,7.509797,79.859955,22.950092,3.5759156,0.69521374,488,65.7,6.96,,
2007-12-20,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.015548198,4938.129,4.8670163,49.377304,3.196931,2.4904215,1.387666,,9.912357,,7.5141516,79.62932,23.216593,3.5609176,0.8889707,526,79,8.11,,
2007-09-06,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.007407835,5128.471,4.529084,49.027473,3.3002596,1.7222222,1.2369908,,,,7.8371015,81.40635,24.206331,3.8244882,1.2262329,530,44.5,3.86,,
2007-09-06,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0051067183,5316.395,6.803255,60.104504,14.816058,3.7222223,0.13635163,,,,7.2854395,87.02697,25.869085,4.0206532,1.2861795,571,9.3,0.99,,
2007-06-20,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.019331468,4897.5654,5.402097,47.054756,0,2.0485244,,,,,7.5141516,89.20253,26.399315,4.0884585,0.918396,524,64,5.67,,
2007-06-20,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5287.9756,7.5517197,58.781605,4.042115,10.242621,,,,,6.990517,76.368126,24.85985,8.490927,1.3427961,580,10.1,1.08,,
2007-04-25,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,3559.4392,4.554617,49.7061,7.8356056,2.1389396,,390,5.1185956,,7.7212024,79.31477,23.784431,4.6667194,0.7061921,498,83.5,8.66,,
2007-02-27,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5043.8013,5.2700543,50.51776,9.931818,2.869102,1.440833,521,4.047619,,7.5683074,35.481194,22.64357,3.5583777,0.72408926,529,69.1,8.56,,
2006-12-21,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.020573488,5042.4946,4.6733975,46.808384,4.092817,2.5439036,,520,6.4735174,,7.5540094,80.190575,24.096863,3.8678741,0.9359217,508,82,8.27,,
2006-12-21,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5248.756,6.605679,58.397102,17.896542,9.784245,,561,9.474875,,7.21421,85.765,25.863913,4.0483165,0.8868824,558,8,0.89,,
2006-10-24,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5215.191,6.7475557,59.72574,14.271987,2.5575817,0.41126487,553,5.843322,,,84.38857,25.267012,4.0429277,0.6440032,569,9.1,1.03,,
2006-10-24,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.009833107,5094.5737,4.8798604,48.204185,6.105863,3.1190019,1.7062815,525,5.843322,,,79.72185,23.782202,4.109325,0.7011472,529,72.6,7.57,,
2006-08-10,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5269.7666,6.7748184,59.766716,25.743511,9.650655,,558,10.237572,,7.335004,85.681335,24.449472,3.8056252,0.9328757,517,8.9,0.93,,
2006-08-10,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.015468864,4899.7227,4.768697,48.83108,11.755872,3.6899564,,526,7.492301,,7.9507155,80.79115,22.729342,3.6676881,0.93242013,484,73.6,6.51,,0
2006-06-21,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,77.48423,24.822716,4.2688737,1.0131823,0.003062319,5262.393,6.251013,59.652454,23.083742,8.585428,,566,9.285714,,,,,,,574,13.8,1.52,,0
2006-06-21,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,72.327,22.963814,4.1107674,1.0391613,0.0014636755,3049.3608,4.554419,50.255424,23.010923,6.259054,,535,9.952951,,,,,,,541,7.2,0.66,,0
2006-04-28,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,74.716934,23.79328,4.079146,0.8832872,0,5246.074,4.7937584,42.604145,11.581042,2.7242525,1.1410372,541,8.130212,,7.754157,,,,,543,16.9,1.79,,
2006-02-24,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,78.09561,23.03685,4.6483293,0.7816857,0,5120.1025,4.9143414,50.29784,11.336623,0.74820143,1.6260828,,5.318691,,7.885139,,,,,538,59,7.47,,
2005-10-27,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,74.87106,23.261482,3.9067135,0.8547829,0.0040079313,5027.8,4.5064287,46.215534,9.853359,2.2534049,0.32888052,532,6.571429,,7.6865063,,,,,498,68.2,6.9,,
